-1 0 2
-1 8 2
-1 14 0.5
-1 42 2
10 0 29
10 1 11
10 2 2
10 3 2
10 4 7
10 5 0.5
10 6 2
10 10 2
10 11 2
10 12 4
10 13 0.5
10 15 0.5
10 17 2
100490 0 2
100490 4 2
100490 14 2
101 0 53
101 1 16
101 4 6
101 5 4
101 6 16
101 7 8
101 9 2
101 10 2
101 11 2
101 12 10
101 13 12
101 14 4
101 15 4
101 16 2
101 18 2
101 20 2
101 22 2
101 23 2
101 24 8
101 26 2
101 30 2
101 31 2
101 32 2
101 33 2
101 34 2
101 35 2
101 36 2
101 40 2
101 41 4
101 45 2
101 48 2
101 49 2
101 50 0.5
101 57 2
101 58 2
101 62 2
101 63 2
101 65 2
101 66 2
10139 0 0.5
10139 6 2.5
10139 7 2
10139 20 2
10139 27 0.5
10139 46 0.5
10139 49 0.5
10155 0 2.5
10155 9 2.5
10167 0 2.5
10167 58 0.5
101825 0 0.5
101825 4 0.5
102178 12 0.5
102178 13 0.5
102178 41 0.5
1042 0 4
1042 1 2
1042 4 2
1042 12 2
1042 13 2
1042 14 2
1042 24 2
1042 33 2
1042 69 2
104232 0 0.5
104232 4 0.5
104232 12 0.5
104232 58 0.5
104232 82 0.5
104492 20 0.5
104492 68 0.5
10493 6 0.5
10520 0 0.5
10520 11 0.5
105227 0 0.5
105227 6 0.5
1060 6 0.5
1060 23 0.5
106137 0 0.5
106137 12 0.5
10639 0 2
106452 0 0.5
106452 1 0.5
10733 0 2.5
10733 6 1
10733 9 1
10733 75 2
108753 0 0.5
108753 6 0.5
109099 6 0.5
109099 37 0.5
109099 68 0.5
109103 6 0.5
109103 13 0.5
10998 4 2
10998 20 2
110485 20 0.5
110485 52 0.5
11105 0 1
11105 20 2
1121 20 2
1121 74 2
11241 0 3.5
11241 19 1.5
112471 6 0.5
112840 0 3
112840 1 0.5
112840 4 2
112840 6 1
112840 12 0.5
112840 20 0.5
112840 28 2
112840 58 0.5
11297 0 2
11297 4 2
11297 6 0.5
11297 14 2
11297 20 0.5
11297 41 0.5
11297 75 0.5
11297 86 0.5
115 0 23.5
115 1 2
115 2 4
115 3 4.5
115 4 2
115 8 2
115 10 0.5
115 13 1
115 14 2
115 22 2
115 24 6.5
115 25 2
115 26 2
115 27 2
115 30 2
115 31 0.5
115 35 0.5
115 40 0.5
115 44 2
115 45 2
115166 0 0.5
11533 0 0.5
116 0 2.5
116 13 2
116 19 2
116 25 0.5
116 37 0.5
116 61 2
116 71 2
116 86 0.5
11610 0 4
11610 6 1.5
11610 15 0.5
11610 19 4
11610 20 0.5
11610 71 2
116161 0 0.5
116161 12 0.5
116161 22 0.5
116161 69 0.5
1174 0 4
1174 5 2
1174 8 2
1174 20 2
1174 25 2
1174 45 2
11791 0 12
11791 1 2
11791 8 2
11791 12 2
11791 19 2
11791 20 2
11791 25 2
118 0 2
118 5 2
1186 6 0.5
1186 13 0.5
11890 6 0.5
11890 12 0.5
11890 58 0.5
119060 6 0.5
119060 67 0.5
119060 77 0.5
119271 0 2
119271 12 2
119271 63 2
119271 100 2
119461 0 0.5
119461 58 0.5
119461 63 0.5
119675 4 0.5
119675 12 0.5
119675 20 1
119675 43 0.5
120 0 2.5
120 1 0.5
120 57 1
120988 6 0.5
120988 9 0.5
121023 0 4
121023 1 2
121023 6 7.5
121023 7 0.5
121023 8 0.5
121023 12 0.5
121023 20 2
121023 25 3.5
121023 37 1
121023 41 1.5
121023 43 0.5
121023 58 3
121023 68 0.5
121023 69 0.5
121023 75 1
121023 81 0.5
121023 82 0.5
121949 1 0.5
121949 20 0.5
121968 0 4
121968 1 2
121968 42 2
122324 0 2
122324 58 2
12285 0 2.5
12285 1 0.5
12285 13 3.5
12285 15 3.5
12285 18 0.5
12285 19 2
12285 20 1.5
12285 24 0.5
12285 41 0.5
12285 43 0.5
12285 46 0.5
12285 67 0.5
12285 68 1
12285 74 0.5
12285 77 0.5
12285 81 0.5
123843 0 0.5
123843 6 0.5
123918 0 2
123918 2 2
123918 19 2
124002 0 0.5
124002 20 0.5
12418 0 2.5
12418 9 2
12493 6 0.5
12493 13 0.5
12493 24 0.5
12493 62 0.5
12493 65 0.5
12544 13 0.5
12544 14 0.5
12544 24 0.5
125714 0 0.5
125714 12 0.5
125714 69 0.5
1267 0 2.5
1267 4 0.5
1267 12 0.5
1267 64 2
128 0 1
128 12 1
128 46 0.5
128 70 0.5
128719 0 0.5
13 0 133.5
13 1 6.5
13 3 4
13 4 14.5
13 5 12.5
13 6 34
13 7 2
13 8 4
13 9 2
13 10 2
13 12 6
13 13 7
13 14 5
13 15 6
13 18 2
13 19 14
13 20 12.5
13 23 4
13 24 7
13 25 4
13 26 0.5
13 27 2.5
13 28 2
13 29 2
13 30 2.5
13 31 4
13 32 0.5
13 33 0.5
13 37 2
13 39 2
13 41 4
13 45 3
13 47 6
13 51 6.5
13 52 4
13 53 2
13 56 4.5
13 60 2
13 64 2.5
13 65 4
13 67 2
13 69 4
13 70 2
13 71 2
13 78 2
13 85 2
131037 0 0.5
131037 89 0.5
131037 90 0.5
13125 0 8.5
13125 6 2
13125 14 2.5
13125 19 9
13125 32 2.5
13125 71 2.5
132 0 0.5
13247 0 4.5
13247 4 0.5
13247 6 0.5
13247 20 1
13247 49 0.5
13280 0 2
13280 23 2
133 0 0.5
1337 6 0.5
13414 0 10.5
13414 1 2
13414 7 0.5
13414 12 2
13414 13 0.5
13414 14 2
13414 15 0.5
13414 19 4
13414 20 2
13414 41 2
13414 64 0.5
13414 69 2
1342 6 0.5
1342 85 0.5
1346 0 80
1346 1 7
1346 4 2
1346 5 2
1346 6 4
1346 8 4
1346 9 2
1346 12 2
1346 13 12.5
1346 14 13
1346 15 4
1346 18 2
1346 20 18
1346 22 2
1346 23 2
1346 24 7.5
1346 28 4
