1 128 1.5
1 1 2.5
1 130 4.0
1 3 1
1 4 2
1 5 2
1 135 4.0
1 8 2
1 9 2
1 10 2
1 11 1.5
1 143 2.5
1 144 1
1 145 1
1 18 2
1 147 1
1 20 1.5
1 110 1.5
1 22 1
1 23 1.5
1 5018 1.5
1 27 3.0
1 28 1
1 116 1.5
1 87 1.5
1 37 1.5
1 40 3.5
1 4937 1.5
1 49 1.5
1 178 1.5
1 179 2
1 52 1.5
1 54 2
1 55 2
1 184 2.5
1 57 1
1 186 2
1 187 4.5
1 60 3.0
1 61 3.5
1 4927 3.0
1 4928 4.5
1 4919 1.5
1 5060 1.5
1 182 2.5
1 5063 4.5
1 72 3.0
1 73 2
1 4938 3.0
1 183 1
1 4921 3.0
1 4947 5
1 85 2
1 86 2
1 185 4.0
1 4954 3.0
1 5085 1.5
1 4964 3.0
1 102 2
1 103 2
1 104 2
1 4939 1.5
1 146 2.5
1 129 1.5
1 111 2
1 4968 1.5
1 115 2
1 4980 4.5
1 4981 3.0
1 4985 1.5
1 124 2
1 125 1.5
1 5077 1.5
2 2 1
2 324 5
2 44 1
2 45 1
2 82 1
2 211 1
2 20 4.0
2 21 1
3 224 1
3 1 2
3 2 2
3 68 2
3 33 2
3 43 2
3 4941 1.5
3 4932 1.5
3 4921 3.0
3 5466 1.5
3 59 2
3 60 2
3 4959 3.0
4 1 2
4 2 2
4 10 2
4 11 2
4 15 2
4 146 1.5
4 21 2
4 151 2
4 32 3.5
4 5025 1.5
4 34 2
4 44 2
4 4924 1.5
4 61 3.5
4 62 2
4 4932 1.5
4 4937 1.5
4 4945 1.5
4 4954 1.5
4 4957 1.5
4 112 2
4 125 1.5
4 127 1.5
5 5019 1.5
5 4 2.5
5 4997 1.5
5 5095 1.5
5 47 3
5 144 2
5 146 1.5
5 4950 3.0
5 79 1.5
5 221 2
5 94 1.5
6 41 1
6 90 2.5
6 5 1
6 4967 1.5
7 10 1
7 1531 1
7 6 1
8 7 1
9 8 1
9 116 1.5
9 12 1.5
10 9 1
10 35 2.5
10 4942 1.5
11 4921 1.5
11 11 4.0
11 4919 1.5
12 1411 1.5
12 4 2
12 342 1.5
12 6498 1.5
12 906 1.5
12 5903 1.5
12 5520 1.5
12 4881 2
12 1427 1.5
12 4884 2
12 150 1.5
12 535 2
12 819 2
12 155 2
12 156 2
12 158 5
12 8223 1.5
12 913 1.5
12 5073 1.5
12 603 1.5
12 36 2
12 933 1.5
12 1446 1
12 4380 1.5
12 1066 2
12 1451 2
12 4780 2
12 1453 2
12 1199 1.5
12 306 2
12 307 2
12 948 1.5
12 181 2
12 312 2
12 4409 2
12 954 2
12 607 1.5
12 188 2
12 957 1
12 190 3.5
12 3317 1.5
12 64 1
12 193 2
12 4805 2
12 5854 1.5
12 993 1.5
12 75 2
12 204 1.5
12 1442 1.5
12 56 2.5
12 5078 1.5
12 4952 3.0
12 5850 1.5
12 4955 1.5
12 93 2
12 222 2
12 5861 3.0
12 5904 1.5
12 98 2
12 6499 3.0
12 100 4.0
12 166 1.5
12 178 3.0
12 4858 1.5
12 1002 2
12 4973 1.5
12 6497 1.5
12 4510 1.5
12 4852 1.5
12 757 2.5
12 967 1.5
12 1400 1.5
12 633 2
12 634 2
12 4914 1
12 1310 3.0
12 125 2
12 6527 3.0
13 4920 1.5
13 17 1
13 12 2.5
13 13 1
14 4930 1.5
14 3 2
14 4932 3.0
14 361 1
14 87 2
14 88 2
15 4962 4.5
15 67 2
15 228 3.0
15 4997 4.5
15 5112 4.5
15 15 1
15 75 5.0
15 5036 3.0
15 14 4.0
15 79 2
15 17 2
15 94 1.5
15 4950 4.5
15 4951 1.5
15 4953 1.5
15 57 2
15 59 1
15 60 3.0
15 157 1.5
15 4926 3.0
15 95 1.5
16 32 2
16 4929 3.0
16 29 2
16 16 3.5
16 18 1
16 4922 1.5
16 4923 1.5
16 26 2
17 97 2
17 100 1.5
17 73 3.0
17 11 3.0
17 4973 3.0
17 4974 1.5
17 15 2
17 80 3.0
17 4945 1.5
17 82 2
17 83 2
17 84 1.5
17 4947 3.0
17 4957 3.0
18 16 2
18 4925 5
19 3 5.0
19 5 1.5
19 6 2
19 7 1.5
19 11 3.5
19 12 1.5
19 14 1.5
19 5008 3.0
19 275 1
19 35 1.5
19 38 2.5
19 4921 1.5
19 4923 1.5
19 4924 1.5
19 4925 1.5
19 4928 3.0
19 65 1
19 4930 1.5
19 4933 1.5
19 92 2
19 16 1.5
19 19 2
20 4935 1.5
20 19 1
20 31 1
21 135 1.5
21 9 2
21 2827 1
21 13 2
21 22 2
21 23 2.5
21 24 1
21 2969 1
21 26 1
21 29 2
21 30 2
21 2606 2.5
21 2991 2
21 2096 1
21 58 2
21 59 2
21 4927 3.0
21 704 1
21 4931 1.5
21 8012 1.5
21 8143 3.0
21 4953 1.5
21 25 1
21 127 2
22 129 4.0
22 133 1.5
22 262 1
22 135 1.5
22 5131 1.5
22 1933 1
22 147 2
22 27 1
22 29 1
22 30 1
22 32 1
22 163 1.5
22 36 1.5
22 40 2.5
22 42 1
22 263 1.5
22 52 2.5
22 58 1
22 60 4.0
22 61 2.5
22 4929 1.5
22 69 2.5
22 4970 1.5
22 4938 1.5
22 4940 1.5
22 5005 1.5
22 208 1
22 210 2
22 86 2
22 4951 1.5
22 4953 1.5
22 92 2
22 93 1
22 94 1
22 99 1
22 5096 1.5
22 105 1.5
22 234 2
22 109 1
22 5114 1.5
22 4978 1.5
22 244 2
22 118 2
22 120 1.5
22 249 1
22 4986 4.5
22 125 1
22 254 1.5
23 640 2
23 11 1.5
23 5011 1.5
23 23 1.5
23 27 2
23 542 5
23 168 1.5
23 681 2
23 5575 3.0
23 685 1
23 48 2.5
23 50 1
23 5172 1.5
23 1336 1.5
23 4930 4.5
23 267 2
23 8646 3.0
23 71 1
23 535 1.5
23 332 1.5
23 333 3.5
23 87 1
23 88 1
23 345 3.0
23 93 4.5
23 4959 1.5
23 4967 1.5
23 5003 1.5
23 5230 1.5
24 33 1
24 34 1
24 4958 1.5
24 106 1.5
24 94 2
24 23 1.5
